#deal	#DEAL
#BR	#br
#EMBR3	#embr3
#OIL	#oil
#PETR3	#petr3
#SBSP3	#sbsp3
$AEDU3	$aedu3
cimeira	cimeira
cinco	cinco
cinza	cinza
cinética	cinética
cluster	clusters
cobrir	cobertos
cobrir	cobrem
coca	coca
coisa	coisa
com_	com_
cometer	cometido
comida	comida
compacto	compacta
comparar	comparadas
complexo	complexa
complexo	complexas
compor	compostas
compreender	compreendido
comprovar	comprovada
conceder	concedida
conceder	concedidos
concreto	concreta
concreto	concretas
condenar	condenada
condensado	condensado
confiável	confiáveis
conglomerado	conglomerado
conjunto	conjunta
consolidado	cons
conseqüência	conseqüência
considerar	considerada
considerar	consideradas
considerar	considerados
conseguir	consigo
constituir	constituídas
constituir	constituídos
consulta	consulta
consultar	consultada
consumir	consumida
contaminar,contaminado	contaminado
conter	contendo
contestar,contestado	contestado
conter	continha
contra-ataque	contra-ataque
contratar	contratada
controle	controle
converter	convertido
cooperativa	cooperativa
corda	corda
core	core
correlato	correlata
correto	correta
correto	correto
corrida	corrida
coxa	coxa
cozinha	cozinha
crescer	crescido
criptomoeda	criptomoedas
cruz	cruzes
cuidado	cuidado
culpa	culpa
cura	cura
curva	curva
custódia	custódia
cátion	cátions
dar	damos
dança	dança
data	data
data-ex	dataex
de_	de_
debate	debate
decorrer	decorrido
defesa	defesa
deixar	deixada
delegado	delegado
delinear	delineada
demanda	demanda
demasiado	demasiado
demonstrar	demonstrados
denominar	denominadas
denominar	denominados
denso	densa
deposicional	deposicionais
deputado	deputado
derrota	derrota
descartar	descartada
descer	descendo
descida	descida
descrever	descrita
descrever	descrito
desculpa	desculpa
desemulsificante	desemulsificantes
deserto	deserta
desgraça	desgraça
deslocar	deslocada
despedida	despedida
desta	desta
destilar	destilada
destinar	destinadas
destinar	destinados
determinado	determinado
devolver,devolvido	devolvida
diferença	diferença
digno	digna
diploma	diploma
diplomático	diplomáticas
direto	direta
disciplina	disciplina
discutir	discutidas
dissolver	dissolvidos
dividendo	div
divisa	divisa
diário	diári
dm	dm
Dodge	dodge
Doria	doria
doutor	doutores
doutrina	doutrina
doutro	doutros
droga	droga
dar	dê
e-mail	e-mail
e/ou	e/ou
editor	editores
efetivo	efetiva
eletromagnético	eletromagnética
eletrólito	eletrólitos
eletrônico	eletrônicas
eliminatória	eliminatória
elétron	elétrons
em_	em_
embate	embate
empresa	empresa
encaixante	encaixantes
encaminhar	encaminhada
encaminhar	encaminhadas
encaminhar	encaminhados
encomenda	encomenda
encontrar	encontradas
engolfo	engolfo
entorno	entorno
entrada	entrada
entrecamada	entrecamadas
entrevista	entrevista
epidemia	epidemia
equipa	equipa
equipe	equipe
equipe	equipes
escala	escala
escolha	escolha
escultura	escultura
espanhol	espanhola
espanhol	espanholas
esperança	esperança
esquadra	esquadra
esquina	esquina
estar	esteve
estimar	estimada
estimar	estimadas
estimativa	estimativa
estar	estive
estar	estivemos
estrada	estrada
estrangeiro	estrangeira
estrangeiro	estrangeiras
estranho	estranha
estrela	estrela
estrutura	estrutura
estudar	estudada
estudar	estudadas
estufa	estufa
etc.	etc.
evocar,evocado	evocado
ex-urss	ex-URSS
exato	exatos
exceto	exceto
exercer	exercido
explicar	explicada
externo	externa
extrair	extraída
extrair	extraídos
extremo	extrema
fabricar	fabricados
faciológico	faciológica
factura	factura
faixa	faixa
falso	falsa
falso	falsas
fazer	fará
fatia	fatia
fator	fatores
fechamento	fech.
feira	feira
feriado	feriado
festa	festa
fevereiro	fev
fazer	fez
FHC	fhc
ficha	ficha
figura	figura
fila	fila
fino	fina
fino	finas
fixar	fixada
fixo	fixas
floresta	floresta
foda	foda
ser	foi
folga	folga
ser	fomos
ser	for
ser	foram
ser	forem
foreset	foresets
forma	forma
formar	formada
formar	formadas
fortaleza	fortaleza
força	força
ser	fosse
ser	fossem
fratura	fratura
fratura	fraturas
freqüência	freqüências
fronteira	fronteira
fundo	fundos
furado	furado
futuro	futura
futuro	futuras
fuzil	fuzis
fazer	fê#
fazer	fêz
físico	físicas
físico-químico	físico-químicas
gala	gala
gama	gama
game	game
gargalhada	gargalhada
gerar	gerada
gerar	geradas
gerar	gerados
ginástica	ginástica
grama	grama
gramado	gramado
grana	grana
gravar	gravada
grelha	grelha
grábem	grábens
guarda-redes	guarda-redes
guarda-roupa	guarda-roupa
guerrilha	guerrilha
hacker	hackers
haver	havido
heterogêneo	heterogênea
hidratar	hidratadas
hidratar	hidratados
hidroxila	hidroxilas
hoje	hj
homogêneo	homogênea
homônimo	homônima
honra	honra
hora	hora
humano	humana
humano	humanas
i.e.	i.e.
ida	ida
idéia	idéia
idéia	idéias
ii	ii
ilha	ilha
ilustrar	ilustrada
imensa	imensa
imensas	imensas
imprensa	imprensa
indicar	indicadas
índice	indice
indisciplina	indisciplina
induzir	induzida
inglês	inglesa
inglês	ingleses
iniciativa	iniciativa
injetor	injetores
injustiça	injustiça
inseto	insetos
integrar	integrados
inteiro	inteira
intercalar	intercalados
interduna	interdunas
interfacial	interfaciais
interno	interna
interno	internas
interpretar	interpretadas
interpretar	interpretados
intérprete	interprete
introduzir	introduzida
intrudir	intrudidos
invadir	invadida
inverso	inversas
investir	investidos
inúmeras	inúmeras
ir	iremos
ir	iria
ir	iriam
isomórfico	isomórfica
isoterma	isotermas
israelense	israelenses
iônico	iônica
janela	janela
Janot	janot
japonês	japonesa
japonês	japonesas
japonês	japoneses
JBS	jbs
jogada	jogada
justo	justa
justo	justas
justiça	justiça
lamito	lamitos
laranja	laranja
lata	lata
legenda	legenda
lento	lenta
letra	letras
ler	leu
levar	levada
levar	levadas
levar	levados
leve	leves
liberar	liberados
libra	libra
ligação	ligações
lina	lina
lindo	linda
lineamento	lineamentos
linha	linhas
líquido	liquido
lista	lista
listar	listadas
litológico	litológica
litológico	litológicas
livraria	livraria
lixeira	lixeira
lotaria	lotaria
luz	luzes
lístrico	lístricas
ml	mL
Macktrader	macktrader
madeira	madeira
madrugada	madrugada
mala	mala
mama	mama
maneira	maneira
manobra	manobra
manobra	manobras
manter	mantido
manter	mantinha
mapear	mapeadas
mapear	mapeados
maravilha	maravilha
marcha	marcha
marina	marina
marinho	marinha
marinho	marinhas
massa	massas
matemático	matemáticas
matéria-prima	matéria-prima
mecânico	mecânicas
medicina	medicina
medida	medida
medir	medidos
medula	medula
meio	meios
mentira	mentira
mercado	mercado
Merkel	merkel
meta	meta
missa	missa
miúdo	miúdos
modificar	modificada
modificar	modificadas
monitor	monitores
mostrar	mostrada
mostrar	mostradas
mostrar	mostrados
mover	movida
muitíssimo	muitíssimo
mão-de-obra	mão-de-obra
médico	médicas
em	n
nada	nada
não	nao
narrativa	narrativa
necessário	necessárias
negociar	negociada
negro	negras
noturno	noturna
noutro	noutros
novo	novas
novela	novela
numerosa	numerosa
numerosos	numerosos
não-iônico	não-iônicos
objetivo	obj
obra	obra
observar	observada
observar	observadas
observar	observados
ocorrer	ocorrida
ocorrer	ocorridas
ocupar	ocupada
oferta	oferta
olhar	olhe
ora	ora
ordinário	ordinárias
orelha	orelha
orientar	orientadas
orquestra	orquestra
para	p/
ph	pH
pagamento	pagto
paleocorrente	paleocorrentes
palestra	palestra
papel	papeis
para	para
parabéns	parabéns
parafina	parafina
parcela	parcela
par	pares
parte	parte
parte	partes
partida	partida
partido	partido
passivo	passiva
pasta	pasta
pausa	pausa
pecado	pecado
pedra	pedra
pedro	pedro
pena	pena
peneira	peneira
penhora	penhora
pensar	penso
perspectiva	perspectiva
pesca	pesca
pesquisa	pesquisa
piada	piada
pista	pista
placa	placa
planta	planta
plantar	plantada
platina	platina
plotar	plotado
plug	plugs
plugue	plugue
plástico	plásticas
poeta	poeta
polaca	polaca
poli	poli
ponta	ponta
por_	por_
porém	porem
porta	porta
portaria	portaria
português	portuguesa
português	portuguesas
português	portugueses
posicionar	posicionada
positivo	positiva
positivo	positivas
postura	postura
povo	povos
porque	pq
para	pra
prateleira	prateleira
prateleira	prateleiras
preencher	preenchidos
prenda	prenda
preparar	preparadas
presente	presentes
preto	pretas
primeira	primeira
princesa	princesa
princípio	principio
privilegiar,privilegiado	privilegiados
professor	professores
profundo	profunda
programa	programa
programar	programada
propina	propina
propor	proposto
prosa	prosa
proteção	prot.
protônico	protônica
prova	prova
próprio	próprios
psiquiatra	psiquiatra
pátria	pátria
péssimo	péssimo
pô	pô
que	q
quando	qdo
quadra	quadra
quantia	quantia
quanto	quanto
quarenta	quarenta
quarta-feira	quarta-feira
quebra	quebra
queda	queda
queima	queima
queixa	queixa
quinta-feira	quinta-feira
químico	químicas
resposta	r.
rainha	rainha
raiva	raiva
rapariga	raparigas
raso	rasa
raso	rasas
reativar	reativadas
receber	recebidos
receita	receita
reciclo	reciclo
recobrir	recoberta
recobrir	recobre
recolha	recolha
reconhecer	reconhecida
recuperar	recuperada
recuperar	recuperadas
refinaria	refinaria
refino	refino
reforma	reforma
reforço	reforços
regra	regra
relva	relva
relvado	relvado
remover	removida
remover	removido
renda	renda
repartida	repartida
requerer	requerido
reserva	reserva
resposta	resposta
resultado	resultado
retirar	retiradas
retirar	retirados
reverso	reversa
revista	revista
ria	ria
rifte	riftes
romper	rompido
rosa	rosa
roupa	roupa
RT	rt
rua	rua
ruído	ruído
sem	s/
sair	sai
sal	sais
sair	saí
saída	saída
secretaria	secretaria
secreto	secretas
sede	sede
seguir	segue
segunda-feira	segunda-feira
senhora	senhoras
sentir	sente
ser	sera
ser	seria
ser	seriam
servir,servido	servida
sexta-feira	sexta-feira
seção-colunar	seções-colunares
significado	significado
silanol	silanóis
situar	situada
situar	situadas
situar	situados
sobrepor	sobreposta
sofrer	sofrido
soldado	soldado
somar	somados
sorte	sorte
senhor	sr.
St	st
sub-domínio	sub-domínio
sublinhar	sublinha
submeter	submetida
submeter	submetidas
submeter	submetido
sugerir	sugerida
sugerir	sugeridas
suma	suma
supercavidade	supercavidades
supracrustal	supracrustais
surfactante	surfactantes
surpresa	surpresa
surpresa	surpresas
susceptibilidade	susceptibilidades
ser	sê
sílica/alumino	sílica/alumina
estar	ta
tabela	tabelas
tampa	tampas
tarefa	tarefas
tarifa	tarifas
estar	tava
taxa	taxas
também	tb
teclado	teclado
telefone	tel.
tela	telas
telhado	telhado
ter	tendo
tentar	tenta
tentativa	tentativa
termo	termo
terça-feira	terça-feira
testar	testados
testemunha	testemunhas
the	the
ter	tido
ter	tinha
estar	to
tocar	toca
tomar	toma
torcida	torcida
tornar	torna
toxicodependente	toxicodependentes
transferir	transferida
transferir	transferidas
transferir	transferidos
transiente	transientes
transplante	transplante
transportar	transportada
transportar	transportados
traquito	traquito
tratativa	tratativas
trilhão	trilhões
trinta	trinta
trazer	trouxe
tua	tua
estar	tá
ter	tê
estar	tô
usar	usadas
utilizar	utilizada
utilizar	utilizadas
utilizar	utilizados
vaca	vaca
vaca	vacas
vacina	vacinas
vaga	vagas
vale	vales
vasto	vasta
você	vc
você	vcs
venda	vd
vela	velas
venda	venda
venda	vendas
verde	verde
verificar	verificada
verificar	verificadas
vermelho	vermelha
vermelho	vermelhas
vez	vezes
ver	vi
vida	vidas
violento	violenta
ver	viram
visita	visitas
ver	visto
viver	vivido
vizinho	vizinhas
volume	vol
volta	voltas
voltar	volte
ir	vá
vários	vários
ir	vão
ver	vê
Zalán	zalán
zeólita	zeólitas
zona	zonas
°c	°C
ser	É
à	à
água	água
íon	íons
não	ñ
óleo-água	óleo-água
último	últimas
