Aculus	Aculo
Cassianus	Cassiani
Castronouum	Castronovo
Catulus	Catuli
Causeramus	Causeramo
Celsus	Celso
Cerbonius	Cerbonii
Geruasius	Cervasi
Causeramus	Chauseramo
Cuniradus	Chunerado
Cunimundus	Chunimundi
Cunimundus	Chunimundo
Cunipertus	Chuniperti
Cunipertus	Chuniperto
Ciprianum	Cipriano
cithaeron	Cithaeron
Cliffus	Cliffo
Clodius	Clodio
Clodius	Clodium
Coloniula	Colugnula
Columbanus	Columbani
Corninum	Cornino
Cospertus	Cosperti
Cospertus	Cosperto
Crassus	Crassi
Crassus	Crasso
Crassus	Crassum
Crassus	Crassus
christus	Cristi
Christianus	Cristiani
Christianus	Cristiano
Christianus	Cristianus
Christinus	Cristino
christus	Cristo
christus	Cristum
christus	Cristus
cum	Cum
Cunimundus	Cunimundo
Cunimundus	Cunimundu
Cunipertus	Cuniperto
Cynthia	Cynthia
de	DE
Daiprandus	Daiprandi
Daiprandus	Daiprando
Daiprandus	Daiprandu
Dalmatius	Dalmatii
Damascus	Damascum
Daniel	Danihel
de	De
Deusdedit	Deusdede
Deusdedit	Deusdedi
Deusdona	Deusduna
dominus	Domine
Domniprandus	Domniprando
Donatus	Donati
Dulcipertus	Dulciperti
Dulcipertus	Dulciperto
dum	Dum
Dondulus	Dunduli
Ebrimundus	Ebrimundo
Ebroachus	Ebroacho
Ebruardus	Ebruardi
Ebruardus	Ebruardo
ecce	Ecce
ecclesia	Ecclesie
ego	Ego
Hippolytus	Epoliti
Heriprandus	Eriprandus
Eriteus	Eriteo
Ermifridus	Ermifridi
Ermiprandus	Erminprando
Ermiprandus	Ermiprandi
Ermiprandus	Ermiprando
Ermiprandus	Ermiprandu
Ermiteus	Ermitei
Ermiteus	Ermiteo
et	Et
Italia	Etalia
Euplius	Eupli
f	F
Felicitas	Felicite
Ferronianum	Feruniano
Filippus	Filippi
Filippus	Filippo
Filippus	Filippum
Filarus	Fillari
firmus	Firmi
firmus	Firmo
Flaipertus	Flaiperto
Flaipertus	Flaipertu
Flaiprandus	Flaiprando
Formianus	Formianum
fortuna	Fortuna
Fraimannus	Fraimanno
Fraipertus	Fraiperto
Fraiprandus	Fraiprando
franci	Franchorum
franciscus	Francischo
franciscus	Francisco
franci	Francorum
Fraolmus	Fraolmi
Fratellus	Fratelli
Fridianus	Fridiani
Fridianus	Frigiani
Gaidimarus	Gaidimari
Gaiprandus	Gaiprando
Gaiulus	Gaiuli
Galba	Galba
Galba	Galbae
Gallia	Gallia
Gastaldulus	Gastaldulo
Gausfridus	Gausfridi
Gauspertus	Gausperti
Geminianus	Geminiani
Gherardus	Gerardus
Gherimundus	Gerimundo
Germani	Germanis
Geruasius	Gervasi
Geruasius	Gervasii
Gheifridus	Gheifridi
Gherardus	Gherardo
Gherifusus	Gherifuso
Gherimundus	Gherimundi
Gherimundus	Gherimundo
Gheriosa	Gheriose
Gheripertus	Gheriperti
Ghiselfridus	Ghiselfridi
Ghiselpertus	Ghiselpert
Ghiselpertus	Ghiselperto
Ghisus	Ghisi
Ghisprandus	Ghisiprandi
Ghisprandus	Ghisiprandus
Ghisus	Ghiso
Ghisolfus	Ghisolfi
Ghisolfus	Ghisolfo
Ghisolfus	Ghisolfu
Ghispertus	Ghisperti
Ghispertus	Ghisperto
Ghisolfus	Ghisulfo
Ghisulus	Ghisulo
Cospertus	Gosperti
Cospertus	Gospertu
Graece	Graece
Graeci	Graecorum
Gregorius	Gregorii
Grimualdus	Grimaldo
Gumfridus	Gumfridi
Gumpaldus	Gumpaldi
Gumpertus	Gumperti
Gumpertus	Gumperto
Gumpertus	Gumpertu
Gumpertus	Gumpertum
Gumprandus	Gumprandi
Gumprandus	Gumprando
Gundelprandus	Gundelprandum
Gundus	Gundo
Gundualdus	Gundualdi
Gumfridus	Gunfridi
Guntelmus	Guntalmi
Guntelmus	Guntelmi
Guntelmus	Guntelmo
Gurges	Gurgite
Aedui	Haedui
Aedui	Haeduorum
Aedui	Haeduos
Helias	Heliae
Helias	Heliam
Helvetii	Helvetiis
Helvetii	Helvetiorum
Helvetii	Helvetios
Heriprandus	Heriprandi
Eriteus	Heriteo
Hieremias	Hieremias
Hierosolyma	Hierusalem
Hilprandus	Hildiprandi
Himalfridus	Himalfridi
Carolus	Hkarolus
Hlotharus	Hlotharii
Hlotharus	Hlothario
Hlotharus	Hlotharius
Hlotharus	Hlottharii
Hlotharus	Hlotthario
Hludowicus	Hludovicus
Hludowicus	Hludovuici
Hludowicus	Hludovuico
Hludowicus	Hludovuicus
Hodolsindus	Hodolsindi
Hoscus	Husci
Hildipertus	Ildiperti
Hildipertus	Ildiperto
Ildiprandus	Ildiprandi
Ildiprandus	Ildiprando
Hildus	Ildo
Ilmerandus	Ilmerandi
Ilmerandus	Ilmerando
Hilprandus	Ilprandi
Hilprandus	Ilprando
Hilprandus	Ilprandus
Iltifridus	Iltifridi
Iltruda	Iltrude
in	In
Insarus	Insari
insula	Insula
Johannes	Ioannes
Iordanes	Iordanen
Hippolytus	Ipoliti
stabilis	Istavili
Iudaei	Iudaei
Iudaei	Iudaeis
Iudaei	Iudaeorum
Iudaei	Iudaeos
Iudaei	Iudaeus
Julia	Iulie
Carlomannus	Karlomanno
Carolus	Karolus
Labienus	Labienum
Lampertus	Lamberto
Lampertus	Lampert
Lampertus	Lamperti
Lampertus	Lamperto
Lamprandus	Lamprandi
Lamfridus	Lanfridi
Langobardia	Langobardiam
langobardi	Langobardorum
Langobardia	Langubardia
Langobardia	Langubardiam
langobardi	Langubardorum
Lamprandus	Lanprandu
Laodicea	Laodiceam
Lazarus	Lazaro
Lentulus	Lentulo
Lentulus	Lentulum
Leo	Leo
Leoprandus	Leoprandi
Leoprandus	Leoprando
Liutfridus	Liufridi
Liutprandus	Liuprando
Liutfridus	Liutifridi
liuius	Livius
lupus	Lopo
Hlotharus	Lothario
Luca	Luca
lucanus	Lucanam
lucanus	Lucane
lucanus	Lucanem
lucanus	Lucanus
lucensis	Lucense
lucensis	Lucensis
Lucifis	Lucife
Luciprandus	Luciprando
Lunata	Lunata
Lupulus	Lupulo
Luscianum	Lusciano
lycus	Lycus
expression	Maiis
magnus	Maiore
manes	Manes
Maria	Maria
Maria	Marie
Marinus	Marino
Martinulus	Martinulo
meliboeus	Melibeus
Menapii	Menapios
Michael	Mihaeli
Michael	Mihaelis
Michael	Mihahelis
Michael	Miheli
Miniatus	Miniati
monarcha	Monarcha
monarcha	Monarcham
monarcha	Monarche
Mons	Monte
mopsus	Mopsus
moyses	Moysi
Natalis	Natali
natura	Nature
Nazareth	Nazareth
nicomacus	Nicomacum
non	Non
Novembris	Novembris
o	O
Octobris	Octobris
omnis	Omnis
orosius	Orosius
Ospertus	Osperti
Osprandus	Osprandi
Osprandus	Osprando
Austrifonsus	Ostrifusi
Austrifonsus	Ostrifuso
Austrifonsus	Ostrifusus
Austrimannus	Ostrimanno
Austripaldus	Ostripaldo
Austripertus	Ostriperti
Austripertus	Ostriperto
Austrualdus	Ostrualdi
Aupertus	Ouperto
Palus	Padule
Paldus	Paldo
Paternum	Paterno
Peredeus	Peredei
Peredeus	Peredeo
Perifusus	Perifuso
Perisindus	Perisundi
Peredeus	Peritei
Peredeus	Periteo
Pertipertus	Pertiperto
Pertualdus	Pertualdi
Petripertus	Petriperto
Petrus	Petru
Pettulus	Pettuli
Philotimus	Philotimum
phoebus	Phoebi
phoebus	Phoebo
phoebus	Phoebus
philosophus	Phylosopho
philosophus	Phylosophum
philosophus	Phylosophus
Pipinus	Pipino
Pipinus	Pippino
Pipinus	Pippinus
Pisa	Pisa
Piso	Pisonem
pistoriensis	Pistoriense
Pomptinus	Pomptinum
Possus	Poso
Prandus	Prandi
Prandulus	Pranduli
Prandulus	Prandulo
Prosperius	Prosperii
Pulicianum	Puliciano
qui	Qua
Quaratana	Quaratiana
qui	Qui
quis	Quid
Quiricus	Quirici
quis	Quis
Ratchis	Racchisi
Rachifonsus	Rachifonsum
Rachifridus	Rachifridi
Rachifonsus	Rachifusi
Rachimundus	Rachimundo
Rachinaldus	Rachinaldi
Rachipaldus	Rachipaldo
Rachipertus	Rachiperti
Rachipertus	Rachiperto
Rachipertus	Rachipertu
Rachiprandus	Rachiprandi
Rachiprandus	Rachiprando
Rachiprandus	Rachiprandum
Rachisindus	Rachisindo
Ramingus	Ramingo
Ramnolfus	Ramnolfo
Ratpertus	Rapperti
Rapprandus	Rapprandi
Raspertus	Rasperti
Remi	Remis
Richimundus	Richimundo
Richipertus	Richiperti
Richipertus	Richipertu
Richiprandus	Richiprandum
Richolfus	Ricolfo
Rodilandus	Rodilando
Rodfridus	Roffridi
Rodfridus	Rofridi
Rogium	Rogio
Rodpaldus	Roppaldi
Rodpaldus	Roppaldo
Rotpertus	Ropperti
Rotpertus	Ropperto
Rotpertus	Roppertus
Rotprandus	Ropprandi
Rodfridus	Rosfridi
Rothari	Rottari
Romualdus	Rumualdi
Romualdus	Rumualdo
Romualdus	Rumualdum
Romualdus	Rumualdus
Sadducaei	Sadducaeorum
Saltuculus	Saltucclo
saluator	Salvatori
saluator	Salvatoris
Saripertus	Saripertu
Sabinus	Savini
Saxum	Saxi
Saxus	Saxo
Scaptius	Scaptio
Scarioth	Scariotis
sed	Sed
Sequani	Sequanis
Sequani	Sequanorum
Sequani	Sequanos
Sextum	Sexto
si	Si
Sichelfridus	Sichalfridi
Sichelmus	Sichelmi
Sicheradus	Sicheradi
Sicheradus	Sicherado
Sichiprandus	Sichiprandi
Silas	Silam
Silex	Silice
Syluester	Silvester
Simon	Simonem
Simon	Simonis
Sion	Sion
Sisimundus	Sisemundo
Sisimundus	Sisimundi
Sisimundus	Sisimundo
Sprinculus	Sprinculo
Stephanus	Stefani
Stephanus	Stefanus
styx	Stygis
Suburbanum	Suborbano
Suebi	Suebis
Subgruminium	Sugrominio
Sumualdus	Sumualdi
Tachipertus	Tachiperti
Tachipertus	Tachiperto
Taus	Tai
Tanimundus	Tanimundu
Tassilus	Tassilo
Tasus	Tasso
Timpanianum	Tempaniano
Teutpaldus	Teopaldo
Teuderadus	Teuderadi
Teuderadus	Teuderado
Teuderadus	Teuderadu
Teudicis	Teudici
Teudilascius	Teudilascio
Teudimundus	Teudimundi
Teudimundus	Teudimundo
Teudinus	Teudino
Teudipertus	Teudipert
Teudipertus	Teudiperti
Teudipertus	Teudiperto
Teudiprandus	Teudiprando
Teudiprandus	Teudiprandu
Teutfridus	Teufridi
Teutpertus	Teuperti
Teutpertus	Teuperto
Teutpertus	Teupertus
Teutprandus	Teuprandi
Teutprandus	Teuprandus
Teutprandus	Teusprando
Teutprandus	Teusprandus
Teutpaldus	Teutpaldum
Teutpertus	Teutperti
Teutpertus	Teutperto
Thomas	Thomati
titan	Titan
tityrus	Tityre
Totus	Toto
Treveri	Treveris
Treveri	Treveros
Turingus	Turingu
Tusculanus	Tusculano
Umbertus	Umberto
Uppertus	Upperto
Ursus	Ursi
Ursus	Urso
Ursus	Ursu
Vaccula	Vaccule
Valles	Valle
Venerandus	Venerando
verbum	Verbum
Versicianum	Versiciano
Villa	Villa
Vitalis	Vitali
Viuentius	Viventio
Viuentius	Viventius
Waldus	Vualdo
Walpertus	Vualperto
Walpertus	Vualpertus
Walprandus	Vualprandi
Walprandus	Vualprando
Wamum	Vuamo
Warnifridus	Vuarnifridi
Warnipaldus	Vuarnipaldo
Wilimarus	Vuilimari
Wilipertus	Vuiliperto
Wilipertus	Vuilipertu
Wilipertus	Vuilipertus
Wilifridus	Vuillefridi
Willelmus	Vuillelmo
Wileradus	Vuilleradi
Wileradus	Vuillerado
Willeramus	Vuillerami
Willeramus	Vuilleramo
Winighisus	Vuinighisi
Wistripertus	Vuistriperti
Witingus	Vuitingo
Vitus	Vuito
Witingus	Vuittingo
calendar	a.
abbatissa	abbatisse
habeo	abeamus
habeo	abeant
habeo	abeat
habeo	abeatis
habeo	abemus
habeo	abendi
habeo	abendum
habeo	abentem
habeo	abentes
habeo	abeo
habeo	abere
habeo	aberemus
habeo	aberet
habeo	abet
habeo	abetis
abeo	abeuntes
abiicio	abiiciat
habeo	abis
habito	abitandum
habito	abitantes
habito	abitare
habitatio	abitationis
habitator	abitatore
ab	abs
absolvo	absolutus
abstinentia	abstinentia
habeo	abuerit
habeo	abueritis
habeo	abuero
habeo	abuerunt
habeo	abui
habeo	abuisset
habeo	abuit
accedo	accedens
accedo	accedentes
accipio	accepta
accipio	acceptae
accipio	acceptas
accipio	acceptis
accipio	acceptum
accidentalis	accidentale
accidentalis	accidentalem
accidentalis	accidentales
accidentalis	accidentali
accipio	accipienda
accipio	accipiendo
accipio	accipiens
accipio	accipientes
acolytus	acolato
acolytus	acolatus
actus	act.
actiuus	actiua
actiuus	actiuae
actiuus	actiuam
actiuus	actiuas
actiuus	actiui
actiuus	actiuis
actiuus	actiuo
actiuus	actiuum
ago	acturus
adam	adae
adam	adam
addo	addita
adduco	adducti
adduco	adductus
adsum	adesentibus
affero	adfert
affero	adferte
adhibeo	adhibenda
adimpleo	adimpleta
adimpleo	adimpletum
adimpleo	adinplere
adimpleo	adinpleta
adimpleo	adinpleverimus
adimpleo	adinplevero
adiungo	adiuncta
adiuuo	adiuuari
affero	adlatae
adminiculum	adminiculo
admisceo	admixtum
appareo	adparuerit
appr(eh)endo	adprehendens
approbo	adprobare
appropinquo	adpropinquavit
apud	adput
assumo	adsumetur
assumo	adsumit
assumo	adsumpsit
assumo	adsumpto
attendo	adtendite
affero	adtulit
aduenio	adueniat
aduenio	adueniens
aduenio	aduenire
aduenio	aduenit
aduenio	adueniunt
aduentus	aduentum
aduerto	advertendum
aduiuo	advivere
aduiuo	advixerimus
aduiuo	advixerit
aduiuo	advixero
aduocatus	advocatus
aeger	aeger
aestimo	aestimandum
aestimo	aestimantes
aestimo	aestimauerunt
aeternus	aeterna
aeternus	aeterno
ago	agenda
ago	agendi
ago	agendis
ago	agendo
ago	agendum
aio	ais
albus	albus
alexander	alexandri
alius	alia
alibi	alibit
aliquis	alico
alius	alie
alienus	aliena
alieno	alienati
alius	alii
aliqui	aliquarum
aliqui	aliquas
aliquis	aliquit
alius	aliut
altare	altari
altare	altaris
alter	alterius
altus	altiora
altus	altiorem
altus	altiores
altus	altiori
altus	altioris
altus	altissimis
alvearium	aluearia
amo	amando
amo	amante
amo	amati
amo	amato
amo	amatum
ambulo	ambulans
ambulo	ambulantes
amitto	amissa
amitto	amissis
amo	amo
amor	amor
ambo	anbas
hic	anc
ancilla	ancille
amphora	anfora
angaria	angaria
angustus	angusto
anima	anima
animo	animata
animo	animatum
anima	animem
annus	anno
antecedo	antecedens
antiquus	antiqua
ad	ap
apocalypsis	apoc.
appareo	apparens
apprehendo	apprehensa
apprehendo	apprehensam
apprehensiuus	apprehensiua
apprehendo	apprehensum
aprilis	aprelis
aprilis	aprile
aptus	aptus
aqua	aque
arbitror	arbitratus
archipresbyter	archipresbiter
archipresbyter	archipresbitero
archidiaconus	arcidiacono
archidiaconus	arcidiaconus
archium	arcivo
ardeo	ardens
arius	arii
aristoteles	aristotele
aristoteles	aristotelem
aristoteles	aristoteles
aristoteles	aristotelis
arius	arius
arma	armis
arma	armorum
articulus	art.
ars	artem
ars	arti
artificiatum	artificiati
artificiatum	artificiatorum
ars	artis
artus	artus
areo	aruit
ascendo	ascendens
ascendo	ascendentem
aspicio	aspiciens
assensus	assensu
assimulo	assimilari
assimulo	assimilat
assimilatio	assimilatio
assumo	assumpta
assumo	assumptam
assumo	assumptum
attendo	attendendum
auctor	auctor
audio	audiendi
audio	audiens
audio	audientes
audio	auditis
auerto	auertitur
augustus	augustas
augustinus	augustini
augustinus	augustinum
augustinus	augustinus
augustus	augusto
augustus	augustus
auicenna	auicennae
aurum	auri
audeo	ausus
authenticum	autentico
utilitas	autilitas
auctor	autorem
auxilium	auxilio
habeo	aveat
habeo	avendi
habeo	avendum
habeo	avire
habito	avitandum
habito	avitare
habitatio	avitationis
habitator	avitator
habitator	avitatore
habitator	avitatoribus
aduocatus	avocato
aduocatus	avocatus
baptismalis	babtismalis
baptisma	baptismi
baptizo	baptizans
baptizo	baptizantes
baptizo	baptizati
baptizo	baptizatus
basilica	bassilica
baptismalis	batismali
beatus	beatissimi
beatus	beatissimo
beatus	beatissimus
beatus	beatum
bellum	bellum
bene	bene
ueruex	berbice
bibo	bibens
biduum	biduo
biduum	biduum
bonus	bonae
bonus	bonam
bonus	bonas
bonus	bonus
bos	boues
bos	bouis
brachium	bracchia
brutus	bruti
brutus	brutorum
que	c
cado	cadens
caelestis	cael.
caeles	caelitum
calco	calcata
calco	calcatam
calidus	calidus
calumnia	calomnia
capitulum	cap.
capanna	capanna
capella	capelle
caput	capitas
caput	capite
caput	capitis
capitulum	capitulas
caput	capo
capio	capta
caput	capu
caput	capud
careo	carens
careo	carentes
carus	carissimi
carmen	carmina
caro	caro
chartula	cartolas
chartula	cartula
chartula	cartulam
chartula	cartulas
chartula	cartule
casa	casa
casalinus	casalinis
casalinus	casalino
casa	case
castanetum	castanietis
castra	castrorum
casus	casus
causo	causando
causo	causantur
causo	causata
causo	causatae
causo	causatis
causo	causato
causo	causatum
causo	causatur
causa	cause
causo	causetur
celeriter	celeriter
caelum	celo
caelum	celorum
caelum	celum
cera	cera
certus	certa
certus	certiorem
certus	certiores
certus	certus
caesa	cese
caesa	cesis
cesso	cessante
circiter	circiter
circum	circum
circumdo	circumdata
circumdo	circumdatum
circumferentia	circumferentie
ciuitas	ciuitas
civilis	civili
clamo	clamans
clamo	clamantes
clarifico	clarificatus
classus	classo
claudo	claudere
clauis	claues
clauis	clauium
claudo	clausa
cogo	coacta
cogo	coactus
cogitatiuus	cogitatiua
cogitatiuus	cogitatiuae
cogitatiuus	cogitatiuam
cognosco	cognita
cognosco	cognitae
cognosco	cognitis
cognosco	cognito
cognosco	cognitum
cognosco	cognoscenda
cognosco	cognoscendam
cognosco	cognoscendi
cognosco	cognoscendo
cognosco	cognoscendum
cognosco	cognoscens
cognosco	cognoscente
cognoscitiuus	cognoscitiua
cognoscitiuus	cognoscitiuam
cohortor	cohortatus
cohors	cohortem
colo	colenda
quilibet	colibet
quilibet	colivet
confero	collatum
coloro	coloratum
colossensis	coloss.
columba	columba
comitium	comitia
comitium	comitiis
commentator	commentator
comminor	comminatus
committo	commissa
committo	commissum
committo	committendum
commode	commode
commutatio	commotatione
commutatio	commotationem
comparo	comparata
competo	competens
compono	compositae
compono	compositus
comprehendo	comprehendens
communiter	comuniter
commutatio	comutatione
commutatio	comutationem
conor	conati
concipio	concepta
concipio	concepti
concipio	conceptum
condicio	condicio
condo	condita
conficio	confecta
conficio	confectis
conficio	confecto
confiteor	confessus
confido	confidens
confirmo	confirmata
confirmo	confirmatum
congrego	congregati
congrue	congrue
coniungo	coniuncta
coniungo	coniuncti
coniungo	coniunctum
colloquium	conloquio
connaturalis	connaturale
comparatio	conparatione
comparatio	conparationem
competo	conpetit
compleo	conplevi
compono	conponamus
compono	conponere
compono	conponiturus
conscribo	conscriptas
consequor	consecuta
consequor	consecuti
consequor	consecutus
consentio	consentiens
consentio	consentiente
consentio	consentientes
consequor	consequendam
consequor	consequens
consequor	consequentem
consequor	consequentes
consequor	consequenti
consequor	consequentis
conseruo	conseruans
conseruo	conseruantur
conseruo	conseruare
conseruo	conseruari
conseruo	conseruat
conseruo	conseruatur
conseruo	conseruentur
conseruo	conseruetur
conseruo	conservata
conseruo	conservaverimus
conseruo	conservavero
considero	consideranda
considero	considerando
considero	considerandum
considero	considerans
considero	considerantes
considero	considerata
considero	considerauerunt
consisto	consistens
consolor	consolati
consortium	consortium
constituo	constituendam
constituo	constituendum
constituo	constituta
constituo	constitutae
constituo	constitutis
constituo	constitutum
constituo	constitutus
construo	constructa
consuesco	consuetus
consuesco	consueuit
contemplatiuus	contemplatiuae
contineo	contenebatur
contineo	continendum
contineo	continens
continentia	continentia
contingo	contingens
contingo	contingentes
continuus	continua
continue	continue
continuus	continui
continuo	continuo
contrarior	contrariatur
contristo	contristati
contristo	contristatus
conuenio	conueniant
conuenio	conueniens
conuenio	conuenientem
conuenio	conuenientes
conuenientia	conuenientiam
conuenienter	conuenientissime
conuenienter	conuenientius
conuenio	conueniunt
conuerto	conuersa
conuersio	conuersione
conuersio	conuersionis
conuerto	conuersum
conuerto	conuersus
conuerto	conuerti
conuerto	conuertitur
conuerto	conuertuntur
conuenientia	convenentia
conuenio	conveni
converto	conversus
conuenio	convinet
convoco	convocatis
cooperio	coperire
corinthius	cor.
coram	coram
corono	coronatus
corrumpo	corrupto
corrumpo	corruptum
creo	creando
creo	creans
creo	creantis
creo	creata
creo	creatae
creo	creatam
creo	creatas
creo	creati
creo	creatis
creo	creato
creator	creator
creo	creatum
creatura	creatura
creatura	creaturis
creo	creatus
creo	creauit
credo	credenda
credo	credendo
credo	credens
credo	credentes
credo	credentibus
credo	credentium
credo	credita
credo	credite
credo	creditis
crucifigo	crucifixus
cum	cu
qui	cui
quilibet	cuilibet
qui	cuius
quilibet	cuiuslibet
culpa	culpa
cultus	cultus
cum	cun
curia	curia
curtis	curte
curtis	curtem
curtis	curtis
custos	custus
expression	d.
da	da
daemonium	daemonium
damno	damnatorum
damno	damnatus
do	dandi
do	dandum
do	dans
do	dante
do	dantem
do	data
do	datae
do	datam
do	datas
do	date
do	datis
do	datum
do	datus
debeo	deberimus
debeo	debitae
debeo	debitam
debeo	debitus
decem	dece
decembrius	decembrio
decipio	deceptus
decimus	decima
decimus	decimam
decimus	decimo
declaro	declarata
decretum	decretum
deficio	deficiens
deficio	deficiente
deficio	deficientes
deus	dei
defero	delata
delictum	delictis
delibero	deliverato
demonstro	demonstrata
demonstro	demonstratum
demum	demum
dependeo	dependens
deriuo	deriuari
deriuo	deriuatur
descendo	descendens
descendo	descendentem
deseruio	deseruiant
deseruio	deseruiunt
deseruio	deservire
designo	designatas
despero	desperata
destruo	destructa
destruo	destructis
desub	desup
determino	determinata
determino	determinatae
determino	determinatam
determino	determinatas
determinate	determinate
determino	determinati
determino	determinato
determino	determinatos
determino	determinatum
deuenio	deuenire
deuteronomium	deut.
debeo	deveamus
diuisio	devisionis
deuotus	devoti
dexter	dextris
dico	dicam
dico	dicenda
dico	dicendi
dico	dicendo
dico	dicendum
dico	dicens
dico	dicente
dico	dicentem
dico	dicentes
dico	dicentis
dico	dicentium
dico	dicta
dico	dictae
dico	dictam
dico	dicte
dico	dicti
dico	dictis
dico	dictum
dico	dictus
differentia	differentia
diffundo	diffusa
dignor	dignatus
dignus	dignus
deus	dii
diligentia	diligentia
diligenter	diligentissime
dimensiuus	dimensiua
diminutio	diminutio
dimitto	dimissa
dimitto	dimissis
dinosco	dinuscitur
directe	directe
discedo	discedens
discessus	discessu
discerno	discreta
discurro	discurrenti
dispenso	dispensandi
dispenso	dispensandum
dispenso	dispensata
dispergo	dispersos
dispono	disponentia
dispono	disposita
dispono	dispositae
dispono	dispositi
dissoluo	dissoluatur
distinctio	dist.
disto	distans
distinguo	distincta
distinguo	distinctae
distinguo	distinctarum
distinguo	distinctis
distinguo	distinctum
diuinus	diu.
diuersus	diuersa
diuersus	diuersae
diuersus	diuersam
diuersus	diuersarum
diuersus	diuersas
diuersus	diuersi
diuersifico	diuersificantur
diuersus	diuersis
diuersus	diuersorum
diuersus	diuersos
diuersus	diuersum
diuido	diuidatur
diuido	diuiditur
diuinus	diuina
diuinus	diuinae
diuinus	diuinam
diuinus	diuinas
diuinus	diuini
diuinus	diuinis
diuinitas	diuinitate
diuinitas	diuinitatis
diuinus	diuinius
diuinus	diuino
diuinus	diuinorum
diuinus	diuinum
diuisio	diuisione
diuitiae	diuitiarum
diuitiae	diuitias
diuitiae	diuitiis
debeo	diveamus
debeo	diveas
diuerto	diversa
diuinus	divine
divido	divisa
divitiae	divitiis
doceo	docens
doceo	docentes
domesticus	domesticae
dominor	dominantium
dominus	dominus
domnicatus	domnicata
domnicatus	domnicatis
domnus	domnus
donum	dona
dormio	dormientes
dotale	dotalis
dotale	dotalium
dux	duce
dux	duces
duo	due
dulcis	dulcis
dupliciter	dupliciter
durus	dura
is	eae
is	eam
idem	eandem
is	eas
idem	easdem
hebdomada	ebdomadas
hebdomada	ebdomatas
hic	ec
ecclesiastes	eccle.
ecclesia	ecclesie
ecclesiasticus	eccli.
ecentricus	ecentrica
ecclesia	eclesia
ecclesia	eclesie
aedificium	edeficiis
aedificium	edeficio
edictum	edictum
aedifico	edificata
aedificium	edificiis
aedificium	edificio
effundo	effusus
egredior	egressi
egredior	egressus
eligo	electi
eligo	electos
eleuo	eleuari
eleuo	eleuatur
eleuo	eleuetur
eligo	eligendo
eligo	eligendum
eloquentia	eloquentia
emitto	emissa
en	en
sum	ens
ephesius	ephes.
episcopatus	epischupatui
episcopatus	episcupatui
epistula	epistula
epulae	epulis
aequaliter	equaliter
equus	equus
sum	eris
sum	ero
error	error
ervum	eruum
sum	essendi
sum	essendo
essentialis	essentiali
essentialis	essentialis
