Accenture	Accenturella
kaikki	kaikkee
kaikkiaan	kaikkiaan
kaikki	kaikkihan
kaksi	kaks
kallis	kallista
kannalta	kannalta
kanta	kannan
kanssa	kans
kansainvälinen	kansainvälisissä
kansainvälinen	kansainvälisten
kansainvälinen	kansainvälistä
kansallinen	kansallista
karkuun	karkuun
kas	kas
kasvot	kasvoja
Katainen	katainen
kadota	katosi
katsoa	katotaan
katsella	katselin
katsoa	katsonut
katsoa	katsottavaa
katsoa	katsottu
katsoa	katsottuna
katsella	kattelin
katu	katuja
kaunis	kaunista
kaupankäynti	kaupankäynnissä
kauppakorkeakoulu	kauppakorkeakoulun
kauppakorkeakoulu	kauppakorkeakoulusta
kaupunki	kaupungista
kehittää	kehitetty
kehittyä	kehittynyt
kukaan	kellään
kuka	kenelle
kukaan	kenellekään
kuka	kenellä
kukaan	kenelläkään
kuka	keneltä
kuka	kenen
kukaan	kenenkään
kenkä	kenkiä
kenties	kenties
kera	kera
kerran	kerran
kerrankin	kerrankin
kertoa	kerroin
kertoa	kertomaan
kerätä	kerää
kesken	kesken
keskimäärin	keskimäärin
keskuspankki	keskuspankin
keskuspankki	keskuspankit
kestää	kesti
kestää	kestänyt
kuka	ketkä
kuka	ketä
kukaan	ketään
kieltää	kielletty
kirjoittaa	kirjoitettu
kirjoittaa	kirjoittanut
kirkas	kirkasta
kivi	kivestä
kivi	kiveä
kohdalla	kohdalla
kohden	kohden
kohtaan	kohtaan
kohti	kohti
koira	koirasta
kokoaika	kokoajan
kokonaan	kokonaan
korjata	korjattavissa
korkea	korkeampi
korkea	korkein
korkeintaan	korkeintaan
korko	korot
korvausvastuu	korvausvastuun
korvausvastuu	korvausvastuusta
korvausvastuu	korvausvastuuta
korvilla	korvilla
koska	koska
koskaan	koskaan
koska	koskapa
koti	kotia
kotimainen	kotimaista
kpl	kpl
kuka	kukapa
kukka	kukkien
kuluessa	kuluessa
kuluttua	kuluttua
kun	kun
kunhan	kunhan
kunnolla	kunnolla
kuolla	kuollut
kuten	kuten
kuule	kuule
kuulemma	kuulemma
kuule	kuules
kuulla	kuulin
kuulla	kuultuaan
kuulustella	kuulusteltavaksi
kuulua	kuuluu
kuulua	kuuluva
kuulua	kuuluvaksi
kuulua	kuuluvan
kuulua	kuuluvat
kuulua	kuuluvia
kuvata	kuvasi
kylki	kyljestä
kyllin	kyllin
kyseinen	kyseistä
käsin	käsin
käsittää	käsittääkseni
käsi	kätensä
käydä	käyny
käydä	käynyt
käyttää	käytetty
käyttää	käytettyjen
käyttää	käytettävien
käyttää	käytettävissä
käyttää	käytetystä
käyttää	käyttämättä
käyttää	käyttänyt
käyttö	käyttöönsä
käydä	käyty
käyttö	käytöstä
laki	lain
lainsäädäntö	lainsäädännön
lainsäädäntö	lainsäädäntöä
laittaa	laittanut
laskea	laskenut
laskea	laskettu
laskea	laski
lapsi	lasta
lehti	lehtiä
lentoliikenne	lentoliikenteen
leppäkerttu	leppäkerttu
liian	liian
liikaa	liikaa
liitto	liiton
liittyminen	liittymistä
liittyä	liittyvistä
liittyä	liittyviä
liittyä	liittyvä
liittyä	liittyvät
liittyä	liittyvää
likimain	likimain
lopulta	lopulta
loppu	lopun
lopussa	lopussa
loppu	loput
lounas	lounasta
luento	luennoilla
lukea	luin
lukuunottamatta	lukuunottamatta
luo	luo
luopua	luovuttava
luvata	lupasi
luvata	luvanne
lähdekoodi	lähdekoodin
lähteä	lähdemme
lähteä	lähdettävä
lähellä	lähelläkään
lähemmäksi	lähemmäksi
lähempänä	lähempänä
läheskään	läheskään
lähestulkoon	lähestulkoon
lähinnä	lähinnä
lähtien	lähtien
löytää	löysin
löytää	löytänyt
maahanmuutto	maahanmuuton
maahanmuutto	maahanmuutosta
maahanmuuttaja	maahanmuuttajien
maahanmuutto	maahanmuutto-
maailmanmestari	maailmanmestari
maailmantalous	maailmantalouden
maalata	maalattu
maantie	maanteiden
mahdollinen	mahdollista
mainita	mainittu
mainita	mainittujen
mainita	mainitun
maa	maista
maksaa	maksamaan
maksaa	maksavat
markkinaosuus	markkinaosuus
markkinatalousmaa	markkinatalousmaa
markkinat	markkinoiden
markkinat	markkinoilla
markkinat	markkinoille
minä	me
minä	mehän
minä	meidän
minä	meidät
minä	meil
minä	meille
minä	meillä
minä	meilläkin
minä	meiltä
minä	meistä
minä	meitä
minä	meiän
minä	mekin
melko	melko
mennä	menevät
mennä	menneet
mennessä	mennessä
mennä	menny
mennä	mennyt
merkeissä	merkeissä
merkitä	merkitty
merkittävästi	merkittävästi
metsä	metsästä
minä	mie
mies	mieheksi
mies	miehelle
mies	miehellä
mies	mieheltä
mies	miehen
mies	mieheni
mies	miehet
mies	miehille
mies	miehiä
mieli	mielestämme
mies	miesten
mies	miestä
miettiä	miettinyt
mikä	miksi
mikäli	mikäli
milloin	milloin
minä	minäkin
mikä	mis
mitenkään	mitenkään
Mithridates	mithridateen
Mithridates	mithridates
mittaan	mittaan
mikään	mitää
mm.	mm.
molemmat	molempia
molemmat	molempien
moni	monet
moni	monista
monta	montaa
minä	mua
muassa	muassa
muu	muidenkin
muu	muillekin
muu	muissakin
muu	muista
muistaa	muistanut
muka	muka
minä	mul
minä	mull
minä	mulla
minä	mulle
minä	mun
minä	musta
musta	mustien
mutta	mut
mutta	mutt
muualle	muualle
muu	muukaan
muu	muukin
muuten	muuten
muuttaa	muutettu
muuttaa	muutettuna
muutoin	muutoin
muuttua	muuttuneet
muuttua	muuttunut
myydä	myy
myöhässä	myöhässä
myöten	myöten
minä	mä
minä	mää
määrätä	määräsi
määrätä	määrättyjen
Mårten	mårten
mökki	mökillä
n.	n.
naaras	naaraan
naimisiin	naimisiin
nainen	naisista
napin	napin
niin	ni
niinkuin	niiku
niinkuin	niinku
niinkuin	niinkun
niinpä	niinpä
ne	niit
nimi	nimekseen
nimenomaan	nimenomaan
nimi	nimeä
nimissä	nimissä
nimittäin	nimittäin
niinkuin	ninku
nipin	nipin
nojalla	nojalla
nopea	nopein
normaaliarvo	normaaliarvon
nousta	nousevat
ns.	ns.
nuori	nuorempi
nuori	nuoria
nuori	nuorin
nyt	ny
nykyisin	nykyisin
nyt	nytkin
näet	näet
nähden	nähden
nähdä	nähdäkseen
nähdä	nähtävillä
nähdä	nähtävissä
näin	näi
nähdä	näkemään
nähdä	näkevät
näkyä	näkyvät
näköjään	näköjään
näkökulmasta	näkökulmasta
näyttää	näytin
näyttää	näyttämään
näyttää	näyttävät
nääs	nääs
olla	o
odottaa	odota
odottaa	odottanut
odottaa	odottavat
ohella	ohella
ohessa	ohessa
oikeastaan	oikeastaan
oikein	oikeen
oikein	oikein
oikeuttaa	oikeutettu
olla	ois
olla	oisin
olla	ol
olla	olemaan
olla	olemalla
olla	olemasta
olla	olenko
olla	olette
olla	oleva
olla	olevaa
olla	olevaan
olla	olevalla
olla	olevalle
olla	olevan
olla	olevani
olla	olevansa
olla	olevassa
olla	olevat
olla	olevia
olla	olevien
olla	oleville
olla	olevissa
olla	olihan
olla	olin
olla	olinkin
olla	olis
olla	olisi
olla	olisko
olla	olivat
olla	olkaa
olkikoira	olkikoiran
olla	ollaanpas
olla	ollapa
olla	olleen
olla	olleet
olla	olleita
ollenkaan	ollenkaan
olla	ollessaan
olla	ollessani
olla	ollu
olla	ollut
olla	oltava
olla	oltu
olla	om
oma	omia
oma	omien
omistaa	omistettu
olla	onk
olla	onkaan
olla	onkos
olla	onks
onneksi	onneksi
onni	onnesta
olla	oo
olla	oon
olla	oot
olla	ootko
opintopiste	opintopistettä
oppiaine	oppiaineen
oppia	oppinut
osata	osaavat
osapuilleen	osapuilleen
osata	osasi
osittain	osittain
osoittaa	osoitettu
ottaa	ota
ottaa	otettu
ottaa	otin
ottaa	ottamaan
ottaa	ottamalla
ottamatta	ottamatta
ottaa	ottavat
olla	ovathan
olla	ovatkin
ovi	ovensa
paha	pahimmassa
paha	pahin
paha	pahinta
paikka	paikkaansa
paikka	paikkansa
paikka	paikkoihin
painaa	painamalla
paitsi	paitsi
palata	palasi
palata	palasin
paljon	paljo
palvelu	palvelut
panna	pannut
parhaimmillaan	parhaimmillaan
pariin	pariin
parissa	parissa
parlamentaarinen	parlamentaarisessa
parlamentaarinen	parlamentaarisissa
pelata	pelannut
pelkästään	pelkästään
per	per
periksi	periksi
perillä	perillä
perin	perin
perussääntö	perussäännön
perustamissopimus	perustamissopimuksen
perusteella	perusteella
perustaa	perustettu
perustuslaki	perustuslain
peräisin	peräisin
peräkkäin	peräkkäin
peräti	peräti
pitää	pidettiin
pitää	pidettävä
pitää	pidetään
pitää	pidin
pieni	pienempi
pieni	pienempiä
pieni	pieniä
piirissä	piirissä
pikkuvaimo	pikkuvaimo
pinta	pinnalla
pintaala	pinta-ala
pitkä	pitempi
pitää	pitihän
pitkin	pitkin
pitkälle	pitkälle
pitää	pitäny
pitää	pitäs
pitää	pitäskö
pitää	pitävän
pitää	pitävät
plus	plus
pohjalta	pohjalta
poika	poikia
poika	poikien
poikki	poikki
poispäin	poispäin
poliittinen	poliittista
polkumyynti	polkumyynnillä
pudota	pudonnut
puheenjohtajavaltio	puheenjohtajavaltio
puhemies	puhemies
puhua	puhunut
puu	puiden
puu	puista
puitteissa	puitteissa
pukeutua	pukeutunut
puoleen	puoleen
puolesta	puolestani
puolivälissä	puolivälissä
puu	puuta
pystyä	pysty
pystyä	pystynyt
pystyssä	pystyssä
pystyä	pystyvät
pystyyn	pystyyn
pysyä	pysyvät
pyytää	pyysi
pyytää	pyytänyt
päin	päin
päivittäin	päivittäin
pääasiallisesti	pääasiallisesti
pääasiassa	pääasiassa
päähän	päähän
pää	päähäni
pääkaupunkiseutu	pääkaupunkiseudulla
pää	päänsä
päästä	pääsi
Pääsky	pääsky
päästä	päässyt
päässä	päässä
Q	q
rahalaitos	rahalaitosten
rahaliitto	rahaliittoon
raha	rahasta
rakentaa	rakennettu
Ratcliffe	ratcliffe
reilusti	reilusti
riippumatta	riippumatta
riittää	riitti
ruveta	rupesi
s.	s.
saakka	saakka
saalis	saaliikseen
saada	saamaan
saada	saamassa
saada	saamatta
saada	saanu
saari	saarista
saada	saatava
saada	saatavilla
saatikka	saatikka
saada	saava
sata	sadan
saksa	saksaa
salaa	salaa
sama	samasta
sama	samoin
sana	sanat
sangen	sangen
sanoa	sanomaan
sanoa	sanomalla
sanoa	sanottuna
sassanidi	sassanidit
sekavaliokunta	sekavaliokunnassa
se	sekin
sekä	sekä
se	sekään
se	sekö
sellainen	sellanen
sellainen	sellasta
selvillä	selvillä
semmoinen	semmone
semmoinen	semmonen
semmoinen	semmoseen
semmoinen	semmosia
semmoinen	semmost
semmoinen	semmosta
se	senhän
se	senkin
se	senkään
seurata	seurannut
seurata	seurasi
seurauksena	seurauksena
sinä	sie
siellä	siel
siellä	sielläkin
se	siihe
se	siin
se	siinä
se	siit
siitepölypäiväkirja	siitepölypäiväkirja
se	siitä
se	siitäkin
se	siitäkään
sijaan	sijaan
sijaishallitsija	sijaishallitsija
sijasta	sijasta
sijoittaa	sijoitettu
siksi	siksi
se	sil
silloin	sillo
silloin	silloin
silloin	sillon
sinä	sinusta
sinä	sinutkin
sinänsä	sinänsä
sinä	sinäpä
sisältä	sisältä
sitten	sit
siten	siten
sitten	sitte
sittemmin	sittemmin
se	sitäkin
se	sitäkään
soittaa	soittanut
sosiaalikomitea	sosiaalikomitean
soveltaa	sovelleta
soveltamisala	soveltamisalan
sopia	sovittu
sinä	sua
suhteen	suhteen
suhteessa	suhteessa
suhde	suhteita
suinkaan	suinkaan
sinä	sul
sulkea	suljin
sulkea	sulki
sinä	sulla
sinä	sulle
sinä	sun
suomalaisittain	suomalaisittain
suomalainen	suomalaista
suoraan	suoraan
suorastaan	suorastaan
sinä	susta
sinä	sut
suunnilleen	suunnilleen
suupieli	suupielessä
suuri	suureen
suuri	suuremman
suuri	suurempaa
suuri	suurempi
suuri	suurempia
suuri	suuria
suuri	suurimman
suuri	suurimmat
suuri	suurin
suuri	suurinta
suuri	suurissa
suurlähettiläs	suurlähettiläs
syy	syistä
syntyä	syntynyt
syödä	syömään
syödä	syönyt
sinä	sä
säätää	säädettyä
säätää	säädetyt
taatusti	taatusti
tahansa	tahansa
taholta	taholta
taikka	taikka
taitaa	tainnut
taitaa	tais
taitaa	taisi
tajuta	tajuu
talouspolitiikka	talouspolitiikkaa
tampere	tampereen
tapahtua	tapahtunut
tavata	tapasi
tarkemmin	tarkemmin
tarkkaan	tarkkaan
tarkoittaa	tarkoitetun
tarpeeksi	tarpeeksi
tarvita	tarttee
tavata	tavannut
tavanomainen	tavanomaisessa
tavarakuljetus	tavarakuljetukseen
sinä	te
tehdä	tee
tehdä	teemme
tehdä	teen
tehdä	teet
tehdä	tehdyistä
tehdä	tehdyn
tehdä	tehdyt
tehdä	tehnyt
tehdä	tehty
tehdä	tehtyjen
tehdä	tehtyjä
tehdä	tehtyä
sinä	teidän
sinä	teidät
sinä	teille
sinä	teillä
sinä	teiltä
tehdä	tein
sinä	teistä
sinä	teitä
teollisuustuotanto	teollisuustuotannon
tervetuloa	tervetuloa
tiedekunta	tiedekunnan
tiedekunta	tiedekunta
tiedonantaja	tiedonantajien
tietää	tiedä
tietää	tiedän
tieliikenne	tieliikenteen
tie	tiellä
tienoilla	tienoilla
ties	ties
tietää	tiesi
tietenkään	tietenkään
tietysti	tietysti
tietää	tietävät
tiimoilta	tiimoilta
tila	tilaan
tilalle	tilalle
tilastotieto	tilastotiedot
tilastotieto	tilastotietoja
tilastotieto	tilastotietojen
tuo	toi
toimenpide	toimenpiteet
toimenpide	toimenpiteiden
toimenpide	toimenpiteitä
toimia	toimi
toimi	toimien
toimintasuunnitelma	toimintasuunnitelma
toimia	toiminut
toimitusjohtaja	toimitusjohtajana
toimivalta	toimivaltaan
toimia	toimivan
toimia	toimivat
toisaalla	toisaalla
toisaalta	toisaalta
toinen	toisensa
toinen	toisestaan
toinen	toisiaan
toinen	toisiamme
toinen	toisiinsa
toinen	toisilleen
toisin	toisin
toisinaan	toisinaan
toinen	toisistaan
toinen	toisistanne
toinen	toista
toinen	toistaan
toinen	toistensa
toki	toki
tuommoinen	tommonen
tuo	ton
tori	torilla
tosiaan	tosiaan
tosin	tosin
tuo	tosta
todeta	totesi
totta	totta
tottakai	tottakai
tottua	tottunut
tuki	tuen
tulla	tulemaan
tulla	tulematta
tulla	tulemme
tulla	tulet
tulla	tulevansa
tulla	tuli
tulla	tulin
tulla	tullaan
tulla	tulleen
tulla	tulleensa
tulla	tullu
tulla	tullut
tulla	tultua
tuntua	tuntuvat
tuoda	tuomaan
tuomioistuin	tuomioistuin
tuo	tuon
tuontitulli	tuontitullin
tuo	tuostahan
tuottaa	tuottanut
tuote	tuotteista
Turku	turun
turva	turvaa
turvin	turvin
tuskin	tuskin
tuttu	tutun
tulla	tuu
sinä	työ
työ	työni
työntekijä	työntekijöitä
työskennellä	työskentelevät
työ	työstä
tähden	tähden
tämä	tähänkin
tämmöinen	tämmönen
tämmöinen	tämmöstä
tämä	tämäkin
tämä	tänäkin
tämä	tänäkään
tärkeä	tärkeimmät
tärkeä	tärkein
tärkeä	tärkeintä
tämä	täs
täsmälleen	täsmälleen
tämä	tässäkin
tämä	tästäkin
täyttää	täyttävät
täytyä	täytynyt
täytyä	täytyyhän
täytyä	täytyykö
täytäntöön	täytäntöön
täällä	tääl
uhata	uhattuna
uhata	uhkaa
uida	uimassa
ulkopuolella	ulkopuolella
ulkopuolelle	ulkopuolelle
usea	useamman
usea	useampi
usea	useampia
usea	useimmat
usea	useimmilla
usea	useimpien
uskoa	uskovat
uudelleen	uudelleen
uudestaan	uudestaan
uusi	uusia
uusi	uusien
uusi	uusin
vaan	vaan
vaatia	vaativat
vai	vai
vaihdella	vaihtelevat
vaikka	vaik
vaikea	vaikeampaa
vaikka	vaikk
vaikka	vaikka
vaikka	vaikkapa
vaikuttaa	vaikuttavat
vailla	vailla
vaille	vaille
valiokunta	valiokunnassa
valita	valitsin
valita	valituksi
valmistaa	valmistettu
valmistua	valmistunut
vallata	valtasi
valtiopäivät	valtiopäivät
valtuuskunta	valtuuskunta
valtuuskunta	valtuuskuntien
valuuttarahasto	valuuttarahaston
vanhempi	vanhempansa
vanha	vanhempi
vanha	vanhin
vara	varaa
varalta	varalta
varassa	varassa
varastaa	varastettu
varrella	varrella
varrelta	varrelta
varsin	varsin
varsinkaan	varsinkaan
varsinkin	varsinkin
varten	varten
vastakkain	vastakkain
vastapäätä	vastapäätä
vasten	vasten
vastoin	vastoin
verran	verran
verrattain	verrattain
verrata	verrattuna
veri	verta
veto	vetoa
vieras	vierasta
viesti	viestin
viettää	vietti
vihdoin	vihdoin
vihdoin	vihdoinkin
viimeinen	viimeistä
viimeistään	viimeistään
viitata	viittasi
Vim	vim
vissiin	vissiin
voida	voi
voida	voidaanhan
voimassa	voimassa
voida	voin
voida	voinu
voida	voinut
voida	vois
voida	voisi
voida	voisin
voida	voit
voida	voitas
voitto	voiton
voittaa	voittanut
voida	voivan
voida	voivansa
vuosi	vuonna
vuoroin	vuoroin
vuosittain	vuosittain
vähemmän	vähemmän
vähentyä	vähentynyt
vähiten	vähiten
vähän	vähä
väkiluku	väkiluku
väkisin	väkisin
väli	välein
väliin	väliin
välille	välille
välillä	välillä
välissä	välissä
välistä	välistä
välttämättä	välttämättä
Wolters	wolters
x	x:n
yhteiskunta	yhteiskuntaa
yhteistyö	yhteistyössä
yhteistyö	yhteistyöstä
yhteistyövaliokunta	yhteistyövaliokunnissa
yhteydessä	yhteydessä
yhteyspiste	yhteyspisteet
yhteyspiste	yhteyspisteiden
yhtikäs	yhtikäs
yhtäaikaa	yhtäaikaa
yhä	yhä
yksi	yks
yksikään	yksikään
yksin	yksin
yksinkertainen	yksinkertaista
yksinomaan	yksinomaan
yleissopimus	yleissopimuksen
yleissopimus	yleissopimusta
yleinen	yleistä
yli	yli
ylilääkäri	ylilääkäri
yliopisto	yliopistojen
yliopisto	yliopistosta
ympäri	ympäri
ynnä	ynnä
ystävä	ystäväni
ei	Älä
äiti	äitisi
ei	älkää
ei	älkäämme
ei	älköön
ei	älkööt
ei	älä
ei	äläkä
ääreen	ääreen
äärellä	äärellä
ääressä	ääressä
