prósent	<percent/>
eiríksson	Eiríksson
eiríkur	Eiríkur
einn	Eitt
ekkert	Ekki
ektor	Ektor
ektor	Ektors
emanúel	Emanúel
en	En
endor	Endor
england	Englandi
enginn	Engu
vera	Er
erasmus	Erasmo
erasmus	Erasmus
erlendur	Erlendur
ermanus	Ermanus
ermengillus	Ermengillus
ermlaug	Ermlaug
errek	Errek
errekur	Erreks
vera	Ert
vera	Eru
vera	Eruð
esjuberg	Esjubergi
euphraten	Euphraten
evgenía	Evgenía
evgenía	Evgeníu
evrópumót	Evrópumótinu
eyjafjörður	Eyjafirði
eyjólfur	Eyjólf
eyjólfur	Eyjólfs
eyjólfur	Eyjólfur
eyrarsund	Eyrarsund
eyri	Eyri
eysteinn	Eystein
eysteinn	Eysteinn
eða	EÐA
eða	Eða
frumhlaup	FRUMHLAUP
fara	Far
felix	Felix
fenakíus	Fenakíus
filippus	Filippus
finnur	Finn
finnbogi	Finnboga
finnbogi	Finnbogi
finna	Finni
finnmörk	Finnmörk
finnur	Finns
finnur	Finnur
finnvarður	Finnvarður
fitjar	Fitjarnar
fjón	Fjón
fjón	Fjóni
fljótshlíð	Fljótshlíð
florenkíus	Florenkíus
flugumýri	Flugumýri
flói	Flóa
flórsokka	Flórsokka
fossverji	Fossverjar
frakki	Frakkar
friderick	Friderick
friderick	Fridericks
frolló	Frolló
frá	Frá
Fréttablaðið	Fréttablaðinu
fyrir	Fyr
galterus	Galterus
galílea	Galílea
garðaríki	Garðaríki
gautland	Gautlandi
gautland	Gautlands
geirleifur	Geirleifur
geirmundur	Geirmundur
geirvaldur	Geirvaldur
geitland	Geitlandi
gestur	Gestur
getsemane	Getsemane
gissur	Gissur
gissur	Gissurar
gissurarson	Gissurarson
gizur	Gizur
gizur	Gizurar
glaumbær	Glaumbæ
glámur	Glámur
gormsson	Gormsson
gormur	Gormur
gottskálk	Gottskálk
goðinason	Goðinason
grabov	Grabov
grettir	Gretti
grettir	Grettir
grettur	Grettis
griffon	Griffon
grikki	Grikkir
grikkland	Grikkland
grikkland	Grikklandi
grikkland	Grikklands
grámann	Grámann
grímur	Gríms
grímsi	Grímsa
grímsi	Grímsi
gróa	Gróa
gróa	Gróu
gudda	Gudda
gull-haraldur	Gull-Harald
gull-haraldur	Gull-Haraldur
gunnar	Gunnari
gunnar	Gunnars
gunnbjörn	Gunnbirni
gunnbjörn	Gunnbjörn
gunnlaugur	Gunnlaugi
gunnlaugur	Gunnlaugur
guð	Guð
guðbrandur	Guðbrand
guðbrandur	Guðbrandi
guðbrandur	Guðbrands
guðbrandur	Guðbrandur
guð	Guði
guðmundur	Guðmund
guðmundarson	Guðmundarson
guðmundsson	Guðmundssonar
guðrún	Guðrúnu
guð	Guðs
gvendur	Gvendur
gyða	Gyða
gyðingaland	Gyðingaland
gyða	Gyðu
gíslason	Gíslasonar
h.	H.
hafa	Haf
hafa	Hafa
hafa	Hafið
halldórsson	Halldórsson
halldórsson	Halldórssonar
halldóra	Halldóru
hallfríður	Hallfríður
halli	Halli
hallkelsson	Hallkelsson
hallkelsson	Hallkelssonum
hallkelsson	Hallkelssynir
hallsson	Hallsson
hallur	Hallur
Ham	Ham
hamborg	Hamborg
hún	Hana
hann	Hann
haraldur	Harald
haraldur	Haraldi
haraldur	Haralds
haraldur	Haraldur
hafa	Hefir
hafa	Hefur
heljarslóð	Heljarslóð
hellismaður	Hellismanna
hellismaður	Hellismenn
hellismaður	Hellismönnum
henrich	Henrich
hercules	Hercules
herkúl	Herkúl
heródes	Herodes
heyra	Heyr
hinrik	Hinrik
hinn	Hitt
hjalti	Hjalti
hjarandi	Hjaranda
hjarandi	Hjarandi
hjarrandi	Hjarranda
hjörleifur	Hjörleifi
hlymrekaheiði	Hlymrekaheiðar
hlíðarendi	Hlíðarenda
holger	Holger
holoferne	Holoferne
holofernem	Holofernem
holofernes	Holofernes
holofernis	Holofernis
holsten	Holsten
hrafnhildur	Hrafnhildi
hrafn	Hrafni
hrafn	Hrafns
hraunsás	Hraunsás
hraunsás	Hraunsási
hruni	Hruna
hrólfur	Hrólf
hrólfur	Hrólfur
hrútafjörður	Hrútafirði
hrútafjörður	Hrútafjörð
hvammur	Hvammi
hvar	Hvar
hvaða	Hvaða
hver	Hver
hver	Hvern
hvernig	Hvernig
hvernig	Hverninn
hver	Hvers
hvorki	Hvorki
hvort	Hvort
hvítá	Hvítá
hver	Hvör
hákon	Hákon
hákon	Hákonar
hákon	Hákoni
hálogaland	Hálogaland
hálogaland	Hálogalandi
hávarður	Hávarður
hólar	Hóla
hólabiskup	Hólabiskup
hóladómkirkja	Hóladómkirkju
hólakirkja	Hólakirkju
hólaskóli	Hólaskóla
hólastaður	Hólastað
hólastifti	Hólastifti
hólmkell	Hólmkel
hólmkell	Hólmkeli
hólmkell	Hólmkell
hólmkell	Hólmkels
hólar	Hólum
hörgárdalur	Hörgárdal
Harpa	Hörpu
hún	Hún
jesús	Iesus
illugi	Illugi
indriði	Indriða
indriði	Indriði
indíaland	Indíalandi
ingibjörg	Ingibjörg
ingjaldshvol	Ingjaldshvoli
ingjaldshvol	Ingjaldshvols
ingjaldur	Ingjaldur
innan	Innan
ja	Ja
jakob	Jakob
jamunth	Jamunth
jarlmann	Jarlmann
jerúsalem	Jerúsalem
jesús	Jesú
jesús	Jesúm
jesús	Jesús
júlí	Julii
já	Já
jóan	Jóan
jóel	Jóel
jóhannes	Jóhannes
jóhann	Jóhanni
jónsson	Jónssonar
jórdan	Jórdan
jórunn	Jórunn
jósef	Jósef
jóseppur	Jóseppur
jörundur	Jörundar
jörundur	Jörundi
jörundur	Jörundur
jú	Jú
júdas	Júdas
júdas	Júdasar
júdit	Júdit
kalman	Kalman
kalmanstunga	Kalmanstungu
kapitulum	Kapitulum
karl	Karli
kata	Kata
ketill	Katli
kaupfélag	Kaupfélaginu
kaupfélag	Kaupfélagið
kaupfélag	Kaupfélagsins
kaupinhafn	Kaupinhafn
kaupmannahöfn	Kaupmannahafnar
kaífas	Kaífas
kaðlín	Kaðlín
kaðlín	Kaðlínar
kaðlín	Kaðlínu
kedron	Kedron
keldugnúpur	Keldugnúps
keli	Keli
kengála	Kengálu
ketill	Ketill
ketilríður	Ketilríðar
ketilríður	Ketilríði
ketilríður	Ketilríður
ketill	Ketils
kirjalax	Kirjalax
kirkjubær	Kirkjubæ
kirkjuból	Kirkjubóls
kjós	Kjós
kjögx	Kjögx
klængur	Klængs
klængur	Klængur
knabbi	Knabbi
knútur	Knúti
knútur	Knúts
knútur	Knútur
kolbeinn	Kolbein
kolbeinn	Kolbeinn
kolbeinn	Kolbeins
kolur	Kols
kolur	Kolur
konáll	Konáli
konáll	Konáls
kormákur	Kormákur
koðrán	Koðrán
kristur	Krist
kristur	Kristi
kristur	Krists
kristur	Kristum
kristur	Kristur
kristur	Kristus
kristur	Kristí
kristín	Kristínar
kristófer	Kristófer
krumbak	Krumbak
krákur	Krákur
krísedús	Krísedús
kári	Kári
kórmakur	Kórmakur
kata	Kötu
kúrland	Kúrlandi
kýlan	Kýlan
lamartíne	Lamartíne
landres	Landres
lasarus	Lasarum
laufás	Laufási
laurits	Laurits
ljósavatn	Ljósavatns
lofti	Lofti
loftur	Lofts
loftur	Loftur
louis	Louis
lukíus	Lukíus
lutrektor	Lutrektor
lítill	Lítill
lítill	Lítið
lófar	Lófar
lúkas	Lúkas
lúthersdóttir	Lúthersdóttir
m.	M.
mag.	Mag.
magdalena	Magdalena
magnúsdóttir	Magnúsdóttur
magnús	Magnúsi
magnús	Magnúss
maí	Maii
majst	Majst
manasses	Manasses
margur	Margur
marmier	Marmier
marta	Marta
marteinn	Martein
marteinn	Marteini
marteinn	Marteinn
mars	Martii
marx	Marx
maría	Maríu
maríumessa	Maríumessu
maximíanus	Maximíanus
melbrigði	Melbrigða
melbrigði	Melbrigði
menon	Menon
metternich	Metternich
með	Með
meðan	Meðan
ég	Mig
mikill	Mikill
mikill	Mikið
mikkel	Mikkel
miklagarður	Miklagarði
miklagarður	Miklagarðs
mikill	Miklu
minn	Minn
minn	Mitt
móses	Moises
móses	Moisi
molde	Molde
Mosfellsbær	Mosfellsbæ
munu	Mun
mundt	Mundt
munu	Munt
mega	Má
másson	Másson
ég	Mér
minn	Mín
móses	Móses
móðar	Móðar
möðruvellir	Möðruvöllum
múlasýsla	Múlasýslu
mýrdalur	Mýrdalnum
n.	N.
nabogodonosor	Nabogodonosor
napóleon	Napóleon
napóleon	Napóleoni
napóleon	Napóleons
nazaret	Nazaret
negusar	Negusar
nema	Nema
neytendastofa	Neytendastofa
nikulás	Nikulás
nikulásson	Nikulásson
noregur	Noreg
norðmaður	Norðmanna
norðmaður	Norðmenn
norðmaður	Norðmönnum
norðsunnan	Norðsunnan
níels	Níels
níníve	Níníve
noregur	Nóregi
noregur	Nóregs
nú	Nú
og	OG
oddur	Odd
oddastaður	Oddastað
oddur	Odds
oddsson	Oddssonar
oddur	Oddur
og	Og
oliveti	Oliveti
ormur	Ormi
ormur	Orms
ormur	Ormur
ozias	Ozias
paradís	Paradísar
parmenio	Parmenio
parmenionis	Parmenionis
parísarborg	Parísarborg
pelissier	Pelissier
petrus	Petrus
pjatta	Pjatta
pjatti	Pjatti
pros	Pros
pálnatóki	Pálnatóka
pálnatóki	Pálnatóki
pálnir	Pálni
pálnir	Pálnir
pétar	Pétar
pétur	Pétur
pétur	Péturs
pílatus	Pílatus
pútíphar	Pútíphar
rabbí	Rabbí
ragnheiður	Ragnheiði
ragnhildur	Ragnhildi
ragnhildur	Ragnhildur
rasmus	Rasmus
reginbald	Reginbald
reginbald	Reginbalds
reykjaholt	Reykjaholt
reykjaholt	Reykjaholti
Reykjavíkurborg	Reykjavíkurborgar
romanus	Romanus
roðgeir	Roðgeir
runga	Runga
runólfur	Runólfur
ríkharður	Ríkharður
ríkilað	Ríkilað
ríó	Ríó
rómaborg	Rómaborg
sakarías	Sakarías
salómon	Salómon
samson	Samson
sandey	Sandey
sandur	Sandi
sannlega	Sannlega
saurbær	Saurbæ
saurbær	Saurbæjar
sauðafell	Sauðafells
saxland	Saxlandi
saxland	Saxlands
segja	Seg
sem	Sem
serkur	Serkir
serki	Serkja
setja	Set
siggi	Siggi
sighvatur	Sighvati
sighvatur	Sighvatur
sigmundsson	Sigmundssonar
signý	Signý
sigríður	Sigríði
sigurðarson	Sigurðarson
sigurður	Sigurði
sigurðsson	Sigurðssyni
sista	Sista
sá	Sjá
skagafjörður	Skagafirði
skulu	Skal
skeggi	Skeggi
skeggi	Skeggja
skulu	Skulum
skulu	Skyldi
skálaholt	Skálaholti
skálholt	Skálholt
skálholt	Skálholti
skáney	Skáney
skíðdalur	Skíðdal
skúli	Skúla
skúli	Skúli
slíkur	Slíkt
smiðkelsson	Smiðkelsson
smiðkelsson	Smiðkelssynir
snjólfur	Snjólfur
snorri	Snorri
snæúlfur	Snæúlfur
solveig	Solveig
soroas	Soroas
spanía	Spanía
spes	Spes
stafngrímur	Stafngríms
stafngrímur	Stafngrímur
stapi	Stapann
starcus	Starcus
starri	Starra
starri	Starri
standa	Statt
ataðarprestakall	Staðarprestakalli
staðastaður	Staðastað
strandir	Strandir
sturla	Sturla
sturla	Sturlu
stúfur	Stúfur
sunnlendingur	Sunnlendingar
svanur	Svanur
svarinn	Svarinn
svarthöfði	Svarthöfði
sveinn	Svein
sveinn	Sveini
sveinn	Sveinn
svo	Svo
svona	Svona
syrpa	Syrpa
syrpa	Syrpu
sá	Sá
sæmundur	Sæmundar
sæmundarson	Sæmundarson
sæmundur	Sæmundur
vera	Sé
símon	Símon
símon	Símonar
sören	Sören
sörkvi	Sörkvis
tagldur	Tagldar
tagldarbani	Tagldarbani
taka	Tak
tannason	Tannason
teitsson	Teitsson
teitur	Teitur
thiers	Thiers
til	Til
timodes	Timodes
tiriotes	Tiriotes
tjösni	Tjösni
tobrich	Tobrich
torfi	Torfi
trankival	Trankival
trausti	Trausta
trója	Tróju
tyrkland	Tyrkland
tírus	Tírus
tómas	Tómas
tósti	Tósti
tögld	Tögld
týhús	Týhúsinu
týhús	Týhúsið
týhús	Týhússins
um	UM
um	Um
uni	Uni
upp	Upp
urðarköttur	Urðarköttur
vagau	Vagau
vagnhöfði	Vagnhöfði
valdi	Valdi
valeríanus	Valeríanus
valgautur	Valgautur
vera	Var
vatnsdalur	Vatnsdal
vatnsfjörður	Vatnsfirði
vegna	Vegna
vel	Vel
vera	Vera
vera	Veri
vermundur	Vermundur
vernakíus	Vernakíus
vera	Vert
vidfraktus	Vidfraktus
vigfús	Vigfús
viktoría	Viktoría
vilja	Vil
vilhjálmur	Vilhjálmi
vilja	Viljið
vilja	Vilt
viðey	Viðey
vogabúð	Vogabúðum
vígbjóður	Vígbjóður
víglundur	Víglund
víglundur	Víglundi
víglundur	Víglundur
vík	Vík
vík	Víkina
víðidalur	Víðidal
víðivöllur	Víðivöllum
w	W.
wórs	Wórs
abel	abel
af	af
afar	afar
afla	aflar
afreka	afrekað
aftan	aftan
afturkoma	afturkominn
öld	aldir
alexander	alexander
algerlega	algerlega
allmargur	allmargir
allmikill	allmikið
allsherjar	allsherjar-
almennt	almennt
almáttugur	almáttkan
almáttkur	almáttkum
almúgi	almúgann
almúgi	almúgans
alskipa	alskipuð
allur	alt
alþingi	alþing
alþingi	alþingi
alþingi	alþingis
alþýða	alþýðan
alþýða	alþýðu
andspænis	andspænis
annar	annara
annar	annari
annarlegur	annarlegum
annaðhvort	annaðhvort
annaðhvort	annaðhvört
aftur	aptur
atganga	atgöngu
augabragð	augabragði
auglit	augliti
auka	aukast
austan	austan
auðséður	auðséð
auðun	auðun
auðunn	auðunn
að	að
aðeins	aðeins
baptisti	baptista
bara	bara
barnaskóli	barnaskóla
barnsaldur	barnsaldri
berja	barðist
batna	batnar
bjóða	bauðst
biðja	baðst
baðstofa	baðstofu
beiða	beiddist
beiskur	beisk
beiða	beiðir
benda	bendi
benda	bendir
ben	benjar
ben	benjum
bera	ber
berja	berjast
berja	berjumst
bersýnilega	bersýnilega
góður	beztu
binda	bindur
birta	birtist
biðja	biðjast
biðja	biðji
biðja	biðjið
biðja	biðjum
biðja	biðst
biðja	biður
bjarg	bjargið
blása	blæs
blífa	blífi
blífa	blífið
borgarmaður	borgarmanna
borgarmaður	borgarmenn
bera	borin
bera	borinn
bera	bornar
bera	bornum
borð	borði
bjóða	boðin
boðsmaður	boðsmenn
bregða	bregður
brenna	brennanda
brenna	brenndur
breyskleiki	breyskleika
breyta	breytast
breyta	breytir
brjóta	brjótast
brosa	brosandi
brosa	brosi
brosa	brosir
brjóta	brotið
brotna	brotnuðu
brusta	brustu
bregða	brygði
brátt	brátt
bráðum	bráðum
brúðlaup	brúðlaupi
brjóta	brýtur
burtferð	burtferðar
byggja	byggir
byggja	byggist
byggðakvóti	byggðakvóta
byggja	byggðist
byrja	byrjar
byssuskytta	byssuskyttur
bjóða	byði
bera	báru
bárður	bárður
bæjarstjórn	bæjarstjórnar
bænahald	bænahaldi
bænastaður	bænastað
bænheyra	bænheyr
bænheyrsla	bænheyrslu
bera	bæri
bæta	bættust
bæði	bæði
bífala	bífalaði
bíða	bíður
berja	börðust
búandi	búanda
búðarsveinn	búðarsveinarnir
bjóða	býð
bjóða	býðst
bjóða	býður
daglega	dagliga
dauðdagi	dauðdaga
daði	daði
detta	dettur
deyja	deyi
deyja	deyjum
dimmur	dimmt
djarflega	djarflega
djákn	djákn
dollara	dollara
Donald	donald
draga	dragast
draga	dreginn
draga	dregist
draga	dregur
drekka	drekki
drekka	drekkið
drekka	drekkur
drep	dreps
drepa	drepur
dreyma	dreymir
drottinsdagur	drottinsdag
drukkinn	drukkinn
draga	dróst
duga	dugir
dylja	dyljast
deyja	dáið
dálítill	dálitla
dálítill	dálítinn
dægur	dægra
dæma	dæmir
dómandi	dómendur
dómkirkja	dómkirkjunnar
dómsdagur	dómsdegi
dýrmætur	dýrmæt
ef	ef
efnahagur	efnahags-
eftir	eftir
ei	ei
eigna	eignaðist
einhver	einhvorn
einhver	einhvörn
einn	eini
einlægur	einlæg
einhver	einnhver
einhver	einnhvern
einnig	einnin
einnig	einninn
einn	einnri
einstakur	einstökum
eiríkur	eiríkur
eira	eirði
einhver	eitthvört
eiður	eiða
ég	ek
ekkert	ekki
ella	ella
ellegar	ellegar
elska	elskar
elska	elskið
vera	em
embættismaður	embættismenn
vera	emk
enda	endaðri
endilangur	endilöngu
enda	enduðu
enginn	engi
enginn	engin
enginn	engis
enginn	engva
enginn	engvan
enginn	engvir
enginn	enkis
hinn	enu
hinn	enum
eftir	eptir
erindi	erendi
vera	ert
ekki	eygi
auka	eykst
eysteinn	eysteinn
eyða	eyðir
eða	eða
eður	eður
fagna	fagnandi
fagna	fagnar
fagnaður	fagnaðar
fagnaðarfundur	fagnaðarfundir
fela	fal
fallast	fallast
finna	fannst
finnast	fanst
farísei	faríseis
fast	fastar
fastaverzlun	fastaverzlunarinnar
fastaverzlun	fastaverzlunina
fá	fekk
fella	fellir
fela	felst
fá	fengir
farast	ferst
ferðaþjónusta	ferðaþjónustu
ferðaþjónusta	ferðaþjónustunni
festa	festi
fá	fingið
finna	finn
finna	finnast
finnbogi	finnbogi
finna	finni
finna	finnist
finna	finnið
finna	finnst
finna	finnum
finna	finst
fjáraukalög	fjáraukalögum
fjárfesting	fjárfestingar
fjárhlutur	fjárhlut
fjárhluti	fjárhlutum
fjárhæð	fjárhæðir
fjárlagafrumvarp	fjárlagafrumvarpi
fjárlagafrumvarp	fjárlagafrumvarpinu
fjárlaganefnd	fjárlaganefndar
fjölmenni	fjölmennis
fjörbaugsgarður	fjörbaugsgarð
fjúka	fjúki
flatur	flatt
margur	fleiru
margur	fleirum
flestallur	flestallt
fleygja	fleygir
fljótt	fljótt
flytja	flytjast
flytja	flytur
fljúga	flýgur
flýja	flýr
fornema	fornam
forsvarsmaður	forsvarsmenn
fortölur	fortölum
fortala	fortölur
forvitna	forvitnar
forðum	forðum
frami	frama
framan	framan
framhjá	framhjá
frami	frami
framkvæmd	framkvæmda
framkvæmd	framkvæmdar
friðrik	friðrik
frumhlaup	frumhlaupi
framvegis	frv.
frá	frá
frásaga	frásögu
fræknleikur	fræknleik
frændkona	frændkonu
frétta	fréttist
frömda	frömdu
fullkomna	fullkomnað
fullsæla	fullsælu
fulltingi	fulltings
finna	fundist
finna	fundust
fylgja	fylg
fylgja	fylgdist
fylgja	fylgdust
fylgja	fylgjast
fylkja	fylkja
fylkja	fylkti
finna	fyndi
finna	fyndist
finna	fyndust
fyrir	fyr
fyrgefa	fyrgefið
fyrirgefa	fyrgefnar
fyrgefa	fyrgefum
fyri	fyri
fyrir	fyrir
fyrirbjóða	fyrirbauð
fyrirstaða	fyrirstöðu
fyrrnefndur	fyrrnefndum
fyrst	fyrst
fyrsta	fyrstunni
fáeinn	fáeinum
fár	fám
fátala	fátalaður
fæða	fæddist
fæða	fæddur
fár	færra
fara	færu
fæðsla	fæðslu
féhirsla	féhirslur
fé	féið
félagi	félaga
fóstbróðir	fóstbræðrum
fóstbróðir	fóstbræður
fóstbróðir	fóstbróður
fósturland	fósturlandi
fagna	fögnum
fagna	fögnuðu
förunautur	förunautum
fýsa	fýsir
fýsa	fýsti
fýsa	fýstist
gefa	gafst
gefa	gaft
gagnvart	gagnvart
gagnvert	gagnvert
ganga	gakk
gaumur	gaum
gefa	gef
gefa	gefi
gefa	gefin
gefa	gefum
gefa	gefur
gegnt	gegnt
gegnum	gegnum
gjalda	geldur
gala	gelur
ganga	gengin
ganga	gengið
ganga	gengu
ganga	gengum
ganga	gengur
ganga	gengust
gera	ger
gera	gerið
gerla	gerla
gersamlega	gersamlega
gersemi	gersimar
gera	gerum
gera	gerði
gera	gerðuð
geta	geti
geyma	geymir
gifta	giftast
gifta	giftust
gildistaka	gildistöku
ganga	gingi
ganga	gingu
girna	girnir
gista	gisti
gera	gjöra
gera	gjöri
gera	gjörir
gerast	gjörst
gera	gjört
gera	gjörum
gera	gjörði
gera	gjörðu
gera	gjörður
glaðlega	glaðlega
gleyma	gleymir
gleðja	gleðjast
glóa	glóanda
grasgarður	grasgarðinum
grein	greinar
grettir	grettir
grimmleikur	grimmleik
gruna	grunar
grundvallarregla	grundvallarreglur
gráfeldur	gráfeld
gráta	grætur
grípa	grípur
grafa	grófu
gullhringur	gullhring
gunnar	gunnar
gunnbjörn	gunnbjörn
guðdómur	guðdómi
guð	guðin
guðsorð	guðsorði
gefa	gáfust
geta	gátu
geta	gátum
gefa	gæfi
gefa	gæfist
geta	gæti
geta	gætu
geta	gætum
góss	góssi
góðvilji	góðvilja
hafa	haf
hafa	hafi
hafa	hafim
hafa	haft
hagleikur	hagleik
halda	haldandi
halda	haldast
halda	haldinn
hallgrímur	hallgrímur
hamast	hamaðist
hún	hana
handa	handa
handan	handan
handgenginn	handgengnir
handtaka	handtekinn
handtaka	handteknir
hanga	hangir
hata	hatar
haugur	hauginum
hefna	hefnir
hafa	hefða
hafa	hefðir
hafa	hefðum
heilbrigðiskerfi	heilbrigðiskerfinu
heilbrigðiskerfi	heilbrigðiskerfið
heilsa	heilsar
heilsa	heilsuðu
heill	heilum
heima	heima
heimkynni	heimkynna
heita	heitir
heiðra	heiðrar
helga	helgandi
helga	helguð
hellir	hellirnum
hellur	hellisins
hella	helt
hendur	hendur
henta	hentar
herbúð	herbúða
herbúð	herbúðir
herbúð	herbúðum
herfang	herfangi
her	herinum
herja	herja
herja	herjar
herja	herjað
herja	herjaði
herma	hermir
herma	hermt
herskjöldur	herskildi
hertaka	hertekið
hertogi	hertuginn
heróp	herópi
heyra	heyrast
heyra	heyri
heyra	heyrir
heyra	heyrist
heyra	heyrið
heyra	heyrðist
himinríki	himinríkis
himintungl	himintunglin
himinn	himnum
hitta	hist
hinn	hitt
hitta	hittast
hitta	hittir
hitta	hittumst
hjá	hjá
hjálpa	hjálpi
hjarta	hjörtum
hlaupa	hlaupandi
hleri	hlerunum
hlaupa	hleypur
hljóta	hljóti
hljóta	hljótum
hljóta	hlyti
hlæja	hlær
hljóta	hlýt
hljóta	hlýtur
hlýða	hlýðir
hollusta	hollustu
hverfa	horfin
horfa	horfir
horfa	horfðist
hrafnhildur	hrafnhildur
hreinlífi	hreinlífis
hreinsa	hreinsar
hreinsa	hreinsast
hreinskilni	hreinskilni
hreppstjóri	hreppstjórinn
hrinda	hrindur
hringja	hringir
hræða	hræddist
hræra	hrærist
hrólfur	hrólfur
hugarfar	hugarfari
huga	hugað
huggun	huggan
hugsanlega	hugsanlega
hugsa	hugsar
hugsa	hugsið
hugskot	hugskoti
hyggja	hugða
hyggja	hugðu
hvarfla	hvarflaði
hvergi	hvargi
hvatki	hvatki
hvaða	hvaða
hverfa	hverfur
hvergi	hvergi
hvernig	hvernin
hvernig	hvernug
hver	hverr
hvessa	hvessti
hvorgi	hvorgi
hvorigur	hvorigir
hvorugur	hvorigum
hvorki	hvorki
hvernig	hvorninn
hvortveggja	hvorntveggja
hvortveggja	hvorttveggja
hvortveggja	hvortveggi
hvíld	hvíldar
hvílíkur	hvílík
hvílíkur	hvílíka
hvílíkur	hvílíkir
hvílíkur	hvílíkt
hvívetna	hvívetna
hvergi	hvörgi
hver	hvörja
hver	hvörjar
hver	hvörjir
hver	hvörju
hver	hvörn
hvernig	hvörnin
hvernig	hvörninn
hversu	hvörsu
hyggja	hygg
hyggja	hyggst
hyggja	hyggur
hár	há
hákon	hákon
hálfpartur	hálfpartinn
hálkublettur	hálkublettir
hálærður	hálærðra
hálærður	hálærðu
háski	háska
hátta	háttað
hátíðardagur	hátíðardagsins
hæfa	hæfir
hækka	hækkar
hæstvirtur	hæstv.
halda	héldi
halda	héldum
halda	héldust
halda	hélst
heita	héti
hó	hó
hefja	hófst
hafa	höfum
höfuðstaður	höfuðstaðnum
höfðingsskapur	höfðingsskap
hafa	höfðum
halda	höldum
höndla	höndlað
hann	hönum
hörmung	hörmungar
húskarl	húskarlar
illugi	illugi
illur	ilt
imbrudagar	imbrudaga
hinn	in
hinn	ina
hinn	inar
ingibjörg	ingibjörg
hinn	inir
hinn	inna
innan	innan
innflutningur	innflutning
innihalda	inniheldur
innskrifa	innskrifaður
innri	innstu
hinn	ins
hinn	inu
hinn	inum
hinn	ið
iðrast	iðraðist
iðrun	iðrunar
iðrast	iðruðust
jafnan	jafnan
jafnframt	jafnframt
jafngóður	jafngott
jafnmargur	jafnmarga
jafnmikill	jafnmikið
jarlssonur	jarlssonar
jesús	jesú
jesús	jesús
jungfrú	jungfrúna
játa	játar
játa	játi
auka	jókst
jóladagur	jóladag
jólafasta	jólaföstu
jólaveisla	jólaveislu
júdit	júdit
kostur	k.
kall	kallinn
kannski	kannske
kunna	kannt
kapítuli	kap
